ano,mes,mes_nome,focos,precip,umidade,temp,indice
2022,1,Jan,6515,116.825,66.046,26.197,0.217
2022,2,Fev,5095,54.476,66.464,26.274,0.325
2022,3,Mar,3608,195.28,66.873,26.242,0.18
2022,4,Abr,3769,112.823,67.255,26.055,0.228
2022,5,Mai,2941,120.655,67.446,26.102,0.226
2022,6,Jun,4118,89.436,67.422,26.124,0.268
2022,7,Jul,4196,63.084,66.469,26.223,0.324
2022,8,Ago,14248,33.607,66.023,26.367,0.369
2022,9,Set,51649,11.639,66.203,26.443,0.415
2022,10,Out,95845,12.045,66.402,26.403,0.412
2022,11,Nov,40319,89.982,65.423,26.422,0.29
2022,12,Dez,37014,66.608,65.687,26.525,0.327
2023,1,Jan,11252,77.48,65.167,26.484,0.343
2023,2,Fev,8717,80.076,65.764,26.655,0.325
2023,3,Mar,5690,176.275,66.568,26.539,0.216
2023,4,Abr,5726,116.981,65.62,26.594,0.257
2023,5,Mai,10890,60.997,65.581,26.59,0.35
2023,6,Jun,13382,55.421,66.031,26.439,0.361
2023,7,Jul,24504,33.038,65.907,26.481,0.42
2023,8,Ago,32954,18.982,65.813,26.535,0.474
2023,9,Set,106635,13.176,65.184,26.713,0.549
2023,10,Out,177219,6.865,64.839,26.623,0.594
2023,11,Nov,81410,24.308,64.514,26.594,0.583
2023,12,Dez,52069,45.983,64.065,26.745,0.525
2024,1,Jan,23018,91.368,66.846,26.376,0.378
2024,2,Fev,7399,151.742,67.018,26.602,0.204
2024,3,Mar,7403,150.458,67.455,26.575,0.228
2024,4,Abr,4040,159.78,66.925,26.575,0.187
2024,5,Mai,8013,75.037,66.922,26.515,0.329
2024,6,Jun,15287,72.686,67.228,26.564,0.333
2024,7,Jul,19481,33.352,67.057,26.668,0.413
2024,8,Ago,41240,13.527,67.145,26.659,0.487
2024,9,Set,86237,8.179,66.965,26.816,0.532
2024,10,Out,108577,14.675,67.074,26.645,0.557
2024,11,Nov,63486,31.225,66.952,26.568,0.535
2024,12,Dez,61732,32.143,66.918,26.752,0.548
