ano,mes,mes_nome,micro_id,micro_nome,uf,mesorregiao,lat,lon,semiarido,pct_caatinga,focos,precip,umidade,temp,indice,nivel
2022,1,Jan,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,38,204.4,79.6,26.8,0.07,BAIXO
2022,2,Fev,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,29,152.1,79.2,26.9,0.072,BAIXO
2022,3,Mar,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,3,425.7,79.6,26.8,0.07,BAIXO
2022,4,Abr,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,4,244.3,79.6,26.7,0.067,BAIXO
2022,5,Mai,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,1,186.4,81.4,26.4,0.06,BAIXO
2022,6,Jun,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,8,67.1,79.9,26.7,0.245,BAIXO
2022,7,Jul,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,24,33.4,82.0,26.3,0.307,MEDIO
2022,8,Ago,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,75,6.8,78.8,26.9,0.372,MEDIO
2022,9,Set,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,177,7.5,80.3,26.7,0.367,MEDIO
2022,10,Out,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,1102,8.1,80.0,26.7,0.367,MEDIO
2022,11,Nov,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,863,34.8,81.2,26.5,0.309,MEDIO
2022,12,Dez,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,1014,62.7,79.9,26.8,0.257,BAIXO
2023,1,Jan,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,198,201.4,79.8,27.0,0.194,BAIXO
2023,2,Fev,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,28,195.0,80.1,27.0,0.092,BAIXO
2023,3,Mar,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,10,296.3,80.1,27.0,0.081,BAIXO
2023,4,Abr,22002,Litoral Piauiense,PI,Norte Piauiense,-3.495,-41.6218,True,57.0,4,288.1,78.4,27.2,0.082,BAIXO
