ano,mes,uf,mes_nome,focos,precip,umidade,temp,indice,n_microrregioes
2022,1,AL,Jan,268,29.943,80.2,25.186,0.297,7
2022,1,BA,Jan,1095,101.543,65.295,25.062,0.211,21
2022,1,CE,Jan,1599,151.015,65.361,27.297,0.182,33
2022,1,MG,Jan,91,181.867,61.033,23.7,0.097,3
2022,1,PB,Jan,1029,119.319,66.248,25.567,0.195,21
2022,1,PE,Jan,1390,75.2,66.708,24.558,0.254,12
2022,1,PI,Jan,138,149.675,60.325,27.538,0.22,8
2022,1,RN,Jan,741,137.428,63.122,27.661,0.239,18
2022,1,SE,Jan,164,33.857,71.843,25.9,0.319,7
2022,2,AL,Fev,376,7.971,79.757,25.257,0.339,7
2022,2,BA,Fev,1505,61.043,65.852,25.033,0.291,21
2022,2,CE,Fev,934,72.952,65.018,27.373,0.316,33
2022,2,MG,Fev,17,152.367,61.667,23.733,0.097,3
2022,2,PB,Fev,447,30.352,68.205,25.91,0.353,21
2022,2,PE,Fev,870,38.45,66.558,24.725,0.337,12
2022,2,PI,Fev,95,95.838,61.688,27.412,0.288,8
2022,2,RN,Fev,401,46.8,64.761,27.55,0.378,18
2022,2,SE,Fev,450,24.543,68.329,26.086,0.363,7
2022,3,AL,Mar,343,91.986,79.771,25.229,0.168,7
2022,3,BA,Mar,1618,49.505,65.524,25.105,0.316,21
2022,3,CE,Mar,303,322.67,66.27,27.245,0.139,33
2022,3,MG,Mar,156,9.333,61.733,23.533,0.385,3
2022,3,PB,Mar,180,224.924,67.61,25.895,0.101,21
2022,3,PE,Mar,330,118.875,67.592,24.717,0.163,12
2022,3,PI,Mar,55,216.025,60.75,27.525,0.212,8
2022,3,RN,Mar,238,245.889,65.183,27.639,0.158,18
2022,3,SE,Mar,385,103.243,70.971,25.7,0.182,7
2022,4,AL,Abr,359,57.843,81.943,25.043,0.233,7
2022,4,BA,Abr,2254,37.357,66.167,24.681,0.331,21
2022,4,CE,Abr,73,198.603,65.642,27.215,0.158,33
2022,4,MG,Abr,156,26.867,60.7,23.233,0.353,3
2022,4,PB,Abr,75,107.738,68.876,25.714,0.185,21
2022,4,PE,Abr,313,59.633,70.125,24.242,0.263,12
2022,4,PI,Abr,43,94.163,62.938,27.112,0.306,8
2022,4,RN,Abr,66,141.6,63.456,27.561,0.209,18
2022,4,SE,Abr,430,80.414,71.157,25.986,0.232,7
2022,5,AL,Mai,67,210.886,81.614,25.057,0.062,7
2022,5,BA,Mai,2006,28.657,66.933,24.719,0.342,21
2022,5,CE,Mai,106,127.855,65.024,27.385,0.225,33
2022,5,MG,Mai,190,3.5,59.467,23.733,0.4,3
2022,5,PB,Mai,54,145.548,69.386,25.695,0.172,21
2022,5,PE,Mai,255,123.825,70.65,24.35,0.184,12
2022,5,PI,Mai,63,57.462,61.838,27.525,0.383,8
2022,5,RN,Mai,78,149.667,63.628,27.728,0.204,18
2022,5,SE,Mai,122,240.186,74.571,24.671,0.076,7
2022,6,AL,Jun,4,237.443,82.771,25.0,0.038,7
2022,6,BA,Jun,3123,18.4,66.119,24.895,0.367,21
2022,6,CE,Jun,321,72.003,65.642,27.285,0.312,33
2022,6,MG,Jun,208,1.567,59.7,23.633,0.398,3
2022,6,PB,Jun,57,118.343,69.038,25.59,0.175,21
2022,6,PE,Jun,110,118.133,71.175,24.367,0.187,12
2022,6,PI,Jun,216,18.088,60.525,27.525,0.458,8
2022,6,RN,Jun,75,104.4,63.444,27.922,0.29,18
2022,6,SE,Jun,4,181.529,74.514,24.914,0.076,7
2022,7,AL,Jul,15,135.329,79.857,25.014,0.086,7
2022,7,BA,Jul,2044,18.457,64.371,25.124,0.383,21
2022,7,CE,Jul,661,33.279,65.321,27.276,0.396,33
2022,7,MG,Jul,319,1.6,58.567,23.967,0.408,3
2022,7,PB,Jul,161,97.962,69.262,25.733,0.246,21
2022,7,PE,Jul,271,85.4,69.358,24.458,0.243,12
2022,7,PI,Jul,375,10.262,59.538,27.525,0.482,8
2022,7,RN,Jul,346,107.317,63.017,27.878,0.335,18
2022,7,SE,Jul,4,95.314,71.643,25.486,0.179,7
2022,8,AL,Ago,60,95.057,79.571,25.086,0.156,7
2022,8,BA,Ago,6042,15.448,64.129,25.257,0.39,21
2022,8,CE,Ago,1934,9.024,65.045,27.458,0.448,33
2022,8,MG,Ago,303,1.433,58.233,24.133,0.411,3
2022,8,PB,Ago,294,43.671,68.681,25.786,0.317,21
2022,8,PE,Ago,481,54.075,66.267,24.858,0.304,12
2022,8,PI,Ago,4840,2.562,59.775,27.775,0.493,8
2022,8,RN,Ago,279,33.206,62.806,27.933,0.424,18
2022,8,SE,Ago,15,127.543,73.129,25.486,0.114,7
2022,9,AL,Set,216,32.186,81.229,25.2,0.295,7
2022,9,BA,Set,21017,12.029,64.11,25.319,0.404,21
2022,9,CE,Set,5646,3.706,65.918,27.488,0.448,33
2022,9,MG,Set,1717,11.9,57.233,24.2,0.415,3
2022,9,PB,Set,1289,12.467,66.324,25.895,0.393,21
2022,9,PE,Set,3934,12.017,65.983,25.125,0.4,12
2022,9,PI,Set,16676,7.238,59.55,27.8,0.495,8
2022,9,RN,Set,1120,6.789,64.978,27.939,0.462,18
2022,9,SE,Set,34,41.586,73.414,25.6,0.289,7
2022,10,AL,Out,989,10.157,79.214,25.386,0.34,7
2022,10,BA,Out,28623,12.814,64.271,25.381,0.404,21
2022,10,CE,Out,14815,7.542,65.909,27.33,0.438,33
2022,10,MG,Out,2593,28.733,57.333,24.167,0.378,3
2022,10,PB,Out,3378,7.719,66.9,25.881,0.399,21
2022,10,PE,Out,6652,17.875,66.958,25.15,0.387,12
2022,10,PI,Out,36633,30.35,59.45,27.788,0.452,8
2022,10,RN,Out,2118,5.822,65.572,27.8,0.458,18
2022,10,SE,Out,44,23.757,73.814,25.614,0.325,7
2022,11,AL,Nov,623,107.286,78.129,25.429,0.15,7
2022,11,BA,Nov,2355,207.852,62.833,25.524,0.141,21
2022,11,CE,Nov,19329,35.052,64.67,27.439,0.399,33
